City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Taltal,CL,-25.4,-70.4833,69.4,59,22,5.57,few clouds
309,Manuk Mangkaw,PH,4.8,119.85,81.07,81,100,11.63,overcast clouds
310,Nanortalik,GL,60.1432,-45.2371,22.62,78,0,4.92,clear sky
311,San Quintin,MX,30.4833,-115.95,63.9,58,0,4.65,clear sky
312,Naranjal,EC,-2.6667,-79.6167,86.0,66,75,4.61,broken clouds
313,Phaltan,IN,17.9833,74.4333,69.58,30,0,6.93,clear sky
314,Bairiki,KI,1.3292,172.9752,78.8,94,75,10.36,light rain
315,Merauke,ID,-8.4667,140.3333,80.06,83,100,14.25,overcast clouds
316,Faya,SA,18.3851,42.4509,51.8,82,20,8.05,few clouds
317,La Roche-Sur-Yon,FR,46.6667,-1.4333,44.6,93,90,6.91,light intensity drizzle
318,Kailua,US,21.4022,-157.7394,66.2,82,1,3.06,clear sky
319,Matay,EG,28.419,30.7792,59.27,57,0,6.78,clear sky
320,Envira,BR,-7.3,-70.2167,84.04,80,64,3.76,broken clouds
321,Shingu,JP,33.7333,135.9833,44.51,80,0,6.31,clear sky
322,Elizabeth City,US,36.2946,-76.2511,55.0,35,1,3.44,clear sky
323,Hovd,MN,48.0056,91.6419,9.39,91,77,1.32,broken clouds
324,Gombe,NG,10.2897,11.1673,87.8,20,0,9.22,haze
325,Vaitape,PF,-16.5167,-151.75,81.34,71,0,11.74,clear sky
326,Kalbay,PH,5.7233,125.4986,76.96,70,100,3.31,overcast clouds
327,Nantucket,US,41.2835,-70.0995,43.0,61,1,18.41,clear sky
328,Tombouctou,ML,20.0,-3.0,78.89,18,100,10.96,overcast clouds
329,Sambava,MG,-14.2667,50.1667,78.62,77,100,0.83,overcast clouds
330,Burnie,AU,-41.0667,145.9167,61.0,85,9,5.01,clear sky
331,Ulladulla,AU,-35.35,150.4667,66.0,88,47,6.91,scattered clouds
332,Talnakh,RU,69.4865,88.3972,-29.09,75,0,3.33,clear sky
333,Ipueiras,BR,-7.0333,-40.45,93.34,23,42,9.08,scattered clouds
334,Port Augusta,AU,-32.5,137.7667,64.4,82,75,12.66,broken clouds
335,Yagodnoye,RU,62.55,149.6667,-24.79,83,54,2.1,broken clouds
336,Ambovombe,MG,-25.1667,46.0833,77.61,88,3,4.52,light rain
337,Flinders,AU,-34.5833,150.8552,64.99,87,0,1.99,clear sky
338,Lugovoy,KZ,42.9472,72.7644,39.15,71,100,4.9,light rain
339,Reinosa,ES,42.9996,-4.138,46.99,98,100,5.01,overcast clouds
340,Lianzhou,CN,24.7811,112.3825,62.13,62,0,0.29,clear sky
341,Santa Marta,CO,11.2408,-74.199,89.01,60,45,1.01,scattered clouds
342,Marrakesh,MA,31.6315,-8.0083,50.0,81,75,10.36,broken clouds
343,Ambulu,ID,-8.345,113.6058,76.73,86,90,2.39,overcast clouds
344,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,63,20,14.97,few clouds
345,Parrita,CR,9.5201,-84.3225,84.2,50,0,9.22,clear sky
